sport,aggression_low,aggression_high,body_awareness_low,body_awareness_high,communication_low,communication_high,focus_low,focus_high,pain_tolerance_low,pain_tolerance_high,trust_low,trust_high,height_low,height_high,body_fat_low,body_fat_high,power_low,power_high,endurance_low,endurance_high,coordination_low,coordination_high,agility_low,agility_high,age_low,age_high
hockey,6,6,5,5,10,10,6.5,6.5,6,6,9,9,5,5,4,4,5,5,7,7,8,8,8,8,25,25
squash,5.5,5.5,6.5,6.5,4,4,7,7,7,7,4,4,6,6,3,3,5,5,7,7,9,9,10,10,25,25
badminton,5,5,6.5,6.5,4,4,6.5,6.5,4,4,4,4,6,6,4,4,5,5,6,6,9,9,10,10,25,25
rugby,9.5,9.5,4.5,4.5,10,10,6,6,8.5,8.5,9,9,7,7,3,3,8,8,7,7,7,7,8,8,25,25
cycling_medium,6.5,6.5,5.5,5.5,3.5,3.5,8,8,8,8,5,5,5,5,3,3,5,5,7,7,3,3,1,1,25,25
table_tennis,4,4,5,5,3.5,3.5,7,7,3.5,3.5,3.5,3.5,4,4,4,4,5,5,5,5,10,10,8,8,25,25
netball,4.5,4.5,4.5,4.5,8.5,8.5,5.5,5.5,3,3,6.5,6.5,10,10,5,5,4,4,5,5,8,8,7,7,25,25
swimming_medium,7,7,7,7,1.5,1.5,7,7,8.5,8.5,3.5,3.5,8,8,4,4,5,5,6,6,3,3,3,3,22,22
athletics_medium,5,5,4,4,2,2,5.5,5.5,8,8,3,3,4,4,2,2,5,5,7,7,3,3,2,2,25,25
wrestling,8,8,5.5,5.5,2,2,8,8,4,4,3,3,5.5,5.5,3,3,7,7,6,6,6,6,7,7,25,25
judo,6.5,6.5,4.5,4.5,2,2,8.5,8.5,4,4,3,3,5,5,3,3,7,7,6,6,6,6,8,8,25,25
boxing,9.5,9.5,6.5,6.5,1,1,9,9,9,9,1.5,1.5,5.5,5.5,3,3,9,9,6,6,7,7,8,8,25,25
cycling_long,5,5,6,6,6.5,6.5,6.5,6.5,10,10,4,4,5,5,3,3,2,2,10,10,4,4,3,3,25,25
triathlon,4.5,4.5,5,5,2,2,6,6,8,8,2.5,2.5,5,5,2,2,3,3,10,10,3,3,2,2,27.5,27.5
swimming_long,6,6,7,7,1.5,1.5,7.5,7.5,10,10,3.5,3.5,8,8,4,4,2,2,8,8,3,3,3,3,22,22
cycling_short,8.5,8.5,6,6,3,3,7,7,6.5,6.5,4,4,5,5,3,3,9,9,2,2,3,3,3,3,25,25
swimming_short,9,9,6,6,1.5,1.5,8,8,7.5,7.5,3,3,8,8,4,4,7,7,2,2,3,3,3,3,22,22
athletics_jumps,6,6,7,7,2.5,2.5,6.5,6.5,5.5,5.5,2.5,2.5,7,7,2,2,9,9,2,2,6,6,5,5,25,25
diving,3.5,3.5,10,10,3,3,9.5,9.5,4.5,4.5,6,6,2,2,2,2,6,6,2,2,8,8,4,4,22.5,22.5
athletics_throws,9,9,7.5,7.5,2.5,2.5,7,7,5.5,5.5,2.5,2.5,8,8,5.5,5.5,9,9,2,2,5,5,5,5,25,25
athletics_short,8,8,5,5,2,2,7,7,6.5,6.5,2,2,5,5,2,2,9,9,2,2,3,3,2,2,25,25
athletics_long,4,4,4,4,1,1,6.5,6.5,9,9,2,2,2,2,1,1,2,2,10,10,2,2,1,1,25,25
lawn_bowls,1,1,2,2,3.5,3.5,6.5,6.5,1,1,2,2,5,5,6,6,2,2,2,2,10,10,2.5,2.5,35,35
gymnastics,4.5,4.5,10,10,2.5,2.5,10,10,7.5,7.5,3,3,1,1,2,2,9,9,2,2,10,10,8,8,21.5,21.5
weightlifting,8,8,5.5,5.5,1.5,1.5,5,5,5.5,5.5,3,3,3,3,3,3,10,10,2,2,2,2,3,3,25,25
shooting,1.5,1.5,1,1,1,1,9.5,9.5,1,1,1,1,5,5,6,6,2,2,2,2,10,10,2.5,2.5,35,35